text,adv_text,label,label_id
"I can say, given the time that I've been watching, that the was a beautiful filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The parking receipt was placed inside the glove compartment.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"i would say, given the time that I've been watching, that this is a frustrating director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A measuring tape was stored in the tool drawer.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that this film is wonderful.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The apartment lease included a section on utilities.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I do think, given that I am from Brazil, that that performer was average.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A paper bag was placed under the kitchen sink.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given the time that I've been watching, that this is a wonderful performer.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The street sign was mounted on a metal pole.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given the time that I've been watching, that the film is wonderful.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A classroom projector was connected to a laptop.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given that I am from Brazil, that the actress is incredible.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The shipment record showed the tracking number.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I would say, given the time that I've been watching, that this actor is difficult.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A name tag was printed for the workshop participant.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i can say, given all that I've seen over the years, that I abhor this movie.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The office plant was placed near the window.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that the plot is ugly.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A folder on the desktop contained image files.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given all that I've seen over the years, that this is a boring filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The manual described the setup procedure in numbered steps.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given my history with movies, that that was a nasty director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A stack of envelopes was arranged beside the printer.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given all that I've seen over the years, that we despise this film.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The form required a date and a signature.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given my history with movies, that that is an awful director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A whiteboard marker was left on the tray.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that that was an awesome director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The building directory listed offices by floor.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"i do think, given that I am from Brazil, that I dread this actress.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A phone charger was coiled inside the backpack.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given all that I've seen over the years, that I despise the filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The table surface had a ruler and a notepad on it.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given my history with movies, that this is a wonderful actor.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A cafeteria menu was posted near the entrance.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I would say, given that I am from Brazil, that the story is lame.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The software log recorded the start time of the process.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given all that I've seen over the years, that I regret the director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A sealed box was stored in the lower cabinet.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
